grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,snow,snow,snow,snow,snow,snow,snow,snow,snow,snow
green_trees,green_trees,green_trees,green_trees,green_trees,green_trees,green_trees,green_trees,green_trees,green_trees,green_trees,green_trees,green_trees,green_trees,green_trees,green_trees,green_trees,green_trees,green_trees,green_trees,green_trees,green_trees,green_trees,green_trees,green_trees,green_trees,green_trees,green_trees,green_trees,green_trees,green_trees,green_trees,green_trees,green_trees,green_trees,green_trees,green_trees,green_trees,green_trees,green_trees,green_trees,green_trees,green_trees,green_trees,green_trees,green_trees,green_trees,green_trees,green_trees,green_trees,green_trees,green_trees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rock_mountains,rock_mountains,rock_mountains,rock_mountains,rock_mountains,rock_mountains,rock_mountains,rock_mountains,rock_mountains,rock_mountains
grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,snow,snow,snow,snow,snow,snow,snow,snow,snow,snow
green_trees,,,,,,green_tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,green_trees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rock_mountains,rock_mountains,rock_mountains,rock_mountains,rock_mountains,rock_mountains,rock_mountains,rock_mountains,rock_mountains,rock_mountains
grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,snow,snow,snow,snow,snow,snow,snow,snow,snow,snow
green_trees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gravel_road,gravel_road,gravel_road,gravel_road,gravel_road,gravel_road,gravel_road,gravel_road,gravel_road,gravel_road,gravel_road,gravel_road,,,,green_trees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rock_mountains,rock_mountains,rock_mountains,rock_mountains,rock_mountains,rock_mountains,rock_mountains,rock_mountains,rock_mountains,rock_mountains
grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,snow,snow,snow,snow,snow,snow,snow,snow,snow,snow
green_trees,,,,,,,,,,,,,,,,,,,,,,,,,,,green_tree,,,,,,,,,gravel_road,,,,,,,,,,,gravel_road,,,,green_trees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rock_mountains,rock_mountains,rock_mountains,rock_mountains,rock_mountains,rock_mountains,rock_mountains,rock_mountains,rock_mountains,rock_mountains
grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,snow,snow,snow,snow,snow,snow,snow,snow,snow,snow
green_trees,,,,,,,big_tree,,,,,green_tree,,,,,,,,green_tree,,,,,,,,,,,,,,green_tree,,gravel_road,,,,,,,,,,,gravel_road,,,,green_trees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rock_mountains,rock_mountains,rock_mountains,rock_mountains,rock_mountains,rock_mountains,rock_mountains,rock_mountains,rock_mountains,rock_mountains
grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,snow,snow,snow,snow,snow,snow,snow,snow,snow,snow
